source_stem,label_file,line_number,x_center,y_center,width,height,left,top,right,bottom,overflow_directions,left_overflow,top_overflow,right_overflow,bottom_overflow,max_overflow,overflow_bin,has_other_valid_crack_box,other_valid_crack_box_count,source_fully_excluded,micro_rounding_scale,build_errors,visual_groups
t842_040_010718530,t842_040_010718530.txt,1,0.231201,0.725399,0.462403,0.071520,-0.0000005,0.689639,0.4624025,0.761159,left,0.0000005,0,0,0,0.0000005,不超过1e-6,False,0,True,True,BBOX_OUT_OF_BOUNDS,
t847_160_011858765,t847_160_011858765.txt,1,0.495757,0.924786,0.025399,0.150429,0.4830575,0.8495715,0.5084565,1.0000005,bottom,0,0,0,0.0000005,0.0000005,不超过1e-6,False,0,True,True,BBOX_OUT_OF_BOUNDS,
t850_503_012821045,t850_503_012821045.txt,3,0.678661,0.442858,0.642679,0.106772,0.3573215,0.389472,1.0000005,0.496244,right,0,0,0.0000005,0,0.0000005,不超过1e-6,True,2,False,True,BBOX_OUT_OF_BOUNDS,random20_micro
t850_637_012837468,t850_637_012837468.txt,1,0.806238,0.695660,0.387525,0.057927,0.6124755,0.6666965,1.0000005,0.7246235,right,0,0,0.0000005,0,0.0000005,不超过1e-6,False,0,True,True,BBOX_OUT_OF_BOUNDS,
t850_638_012837574,t850_638_012837574.txt,1,0.609939,0.916021,0.689471,0.167959,0.2652035,0.8320415,0.9546745,1.0000005,bottom,0,0,0,0.0000005,0.0000005,不超过1e-6,False,0,True,True,BBOX_OUT_OF_BOUNDS,random20_micro
t850_727_012847029,t850_727_012847029.txt,1,0.209938,0.922562,0.244962,0.154877,0.087457,0.8451235,0.332419,1.0000005,bottom,0,0,0,0.0000005,0.0000005,不超过1e-6,False,0,True,True,BBOX_OUT_OF_BOUNDS,
t850_728_012847133,t850_728_012847133.txt,1,0.588770,0.296659,0.822461,0.411668,0.1775395,0.090825,1.0000005,0.502493,right,0,0,0.0000005,0,0.0000005,不超过1e-6,False,0,True,True,BBOX_OUT_OF_BOUNDS,
t852_076_013423133,t852_076_013423133.txt,1,0.378086,0.052681,0.070901,0.105363,0.3426355,-0.0000005,0.4135365,0.1053625,top,0,0.0000005,0,0,0.0000005,不超过1e-6,True,1,False,True,BBOX_OUT_OF_BOUNDS,
t852_475_013509740,t852_475_013509740.txt,1,0.896311,0.709184,0.207379,0.082592,0.7926215,0.667888,1.0000005,0.750480,right,0,0,0.0000005,0,0.0000005,不超过1e-6,False,0,True,True,BBOX_OUT_OF_BOUNDS,random20_micro
t854_212_014003754,t854_212_014003754.txt,1,0.684678,0.209694,0.630645,0.236162,0.3693555,0.091613,1.0000005,0.327775,right,0,0,0.0000005,0,0.0000005,不超过1e-6,False,0,True,True,BBOX_OUT_OF_BOUNDS,
t854_495_014033347,t854_495_014033347.txt,1,0.274900,0.942666,0.544173,0.114669,0.0028135,0.8853315,0.5469865,1.0000005,bottom,0,0,0,0.0000005,0.0000005,不超过1e-6,False,0,True,True,BBOX_OUT_OF_BOUNDS,
t855_859_014257905,t855_859_014257905.txt,1,0.109957,0.596413,0.092105,0.807175,0.0639045,0.1928255,0.1560095,1.0000005,bottom,0,0,0,0.0000005,0.0000005,不超过1e-6,True,1,False,True,BBOX_OUT_OF_BOUNDS,
t855_859_014257905,t855_859_014257905.txt,3,0.267851,0.118608,0.381579,0.237217,0.0770615,-0.0000005,0.4586405,0.2372165,top,0,0.0000005,0,0,0.0000005,不超过1e-6,True,1,False,True,BBOX_OUT_OF_BOUNDS,
t855_872_014259273,t855_872_014259273.txt,1,0.658362,0.131038,0.683277,0.262076,0.3167235,0.000000,1.0000005,0.262076,right,0,0,0.0000005,0,0.0000005,不超过1e-6,False,0,True,True,BBOX_OUT_OF_BOUNDS,random20_micro
t856_791_012938260,t856_791_012938260.txt,1,0.952463,0.563483,0.095075,0.188483,0.9049255,0.4692415,1.0000005,0.6577245,right,0,0,0.0000005,0,0.0000005,不超过1e-6,False,0,True,True,BBOX_OUT_OF_BOUNDS,
t857_014_014314008,t857_014_014314008.txt,3,0.945020,0.220612,0.109961,0.081937,0.8900395,0.1796435,1.0000005,0.2615805,right,0,0,0.0000005,0,0.0000005,不超过1e-6,True,2,False,True,BBOX_OUT_OF_BOUNDS,
t859_526_014726316,t859_526_014726316.txt,1,0.495781,0.069501,0.656976,0.139003,0.167293,-0.0000005,0.824269,0.1390025,top,0,0.0000005,0,0,0.0000005,不超过1e-6,False,0,True,True,BBOX_OUT_OF_BOUNDS,
t861_906_015402709,t861_906_015402709.txt,1,0.538679,0.914472,0.397346,0.171057,0.340006,0.8289435,0.737352,1.0000005,bottom,0,0,0,0.0000005,0.0000005,不超过1e-6,False,0,True,True,BBOX_OUT_OF_BOUNDS,
t861_907_015402821,t861_907_015402821.txt,2,0.326440,0.034686,0.329590,0.069373,0.161645,-0.0000005,0.491235,0.0693725,top,0,0.0000005,0,0,0.0000005,不超过1e-6,True,1,False,True,BBOX_OUT_OF_BOUNDS,
t861_986_015411481,t861_986_015411481.txt,1,0.213542,0.912997,0.192037,0.174007,0.1175235,0.8259935,0.3095605,1.0000005,bottom,0,0,0,0.0000005,0.0000005,不超过1e-6,True,1,False,True,BBOX_OUT_OF_BOUNDS,
t862_138_015427451,t862_138_015427451.txt,1,0.468737,0.080996,0.849343,0.161993,0.0440655,-0.0000005,0.8934085,0.1619925,top,0,0.0000005,0,0,0.0000005,不超过1e-6,False,0,True,True,BBOX_OUT_OF_BOUNDS,
t862_347_015449912,t862_347_015449912.txt,1,0.506502,0.919373,0.408090,0.161255,0.302457,0.8387455,0.710547,1.0000005,bottom,0,0,0,0.0000005,0.0000005,不超过1e-6,False,0,True,True,BBOX_OUT_OF_BOUNDS,random20_micro
t863_461_011125216,t863_461_011125216.txt,1,0.738611,0.115936,0.297729,0.231873,0.5897465,-0.0000005,0.8874755,0.2318725,top,0,0.0000005,0,0,0.0000005,不超过1e-6,False,0,True,True,BBOX_OUT_OF_BOUNDS,
t863_477_011128431,t863_477_011128431.txt,1,0.061845,0.600044,0.123691,0.075218,-0.0000005,0.562435,0.1236905,0.637653,left,0.0000005,0,0,0,0.0000005,不超过1e-6,False,0,True,True,BBOX_OUT_OF_BOUNDS,
t868_738_012019927,t868_738_012019927.txt,1,0.332329,0.065792,0.135538,0.131585,0.264560,-0.0000005,0.400098,0.1315845,top,0,0.0000005,0,0,0.0000005,不超过1e-6,True,2,False,True,BBOX_OUT_OF_BOUNDS,
t868_741_012020250,t868_741_012020250.txt,2,0.599353,0.814945,0.593872,0.370111,0.302417,0.6298895,0.896289,1.0000005,bottom,0,0,0,0.0000005,0.0000005,不超过1e-6,True,1,False,True,BBOX_OUT_OF_BOUNDS,
t871_540_012845351,t871_540_012845351.txt,2,0.970204,0.203911,0.059593,0.136027,0.9404075,0.1358975,1.0000005,0.2719245,right,0,0,0.0000005,0,0.0000005,不超过1e-6,True,1,False,True,BBOX_OUT_OF_BOUNDS,
t871_565_012848244,t871_565_012848244.txt,1,0.411800,0.503322,0.823601,0.038788,-0.0000005,0.483928,0.8236005,0.522716,left,0.0000005,0,0,0,0.0000005,不超过1e-6,False,0,True,True,BBOX_OUT_OF_BOUNDS,
t871_565_012848244,t871_565_012848244.txt,2,0.935120,0.474101,0.129761,0.073662,0.8702395,0.437270,1.0000005,0.510932,right,0,0,0.0000005,0,0.0000005,不超过1e-6,False,0,True,True,BBOX_OUT_OF_BOUNDS,
t871_729_012905802,t871_729_012905802.txt,2,0.841212,0.428558,0.317577,0.281482,0.6824235,0.287817,1.0000005,0.569299,right,0,0,0.0000005,0,0.0000005,不超过1e-6,False,0,True,True,BBOX_OUT_OF_BOUNDS,
t872_669_013045106,t872_669_013045106.txt,2,0.616028,0.899948,0.015405,0.200105,0.6083255,0.7998955,0.6237305,1.0000005,bottom,0,0,0,0.0000005,0.0000005,不超过1e-6,False,0,True,True,BBOX_OUT_OF_BOUNDS,
t872_670_013045209,t872_670_013045209.txt,3,0.615774,0.083992,0.016369,0.167985,0.6075895,-0.0000005,0.6239585,0.1679845,top,0,0.0000005,0,0,0.0000005,不超过1e-6,True,1,False,True,BBOX_OUT_OF_BOUNDS,
t873_284_013148953,t873_284_013148953.txt,1,0.326678,0.149564,0.015279,0.299129,0.3190385,-0.0000005,0.3343175,0.2991285,top,0,0.0000005,0,0,0.0000005,不超过1e-6,False,0,True,True,BBOX_OUT_OF_BOUNDS,
t874_180_013456840,t874_180_013456840.txt,1,0.312021,0.047687,0.024836,0.095375,0.299603,-0.0000005,0.324439,0.0953745,top,0,0.0000005,0,0,0.0000005,不超过1e-6,False,0,True,True,BBOX_OUT_OF_BOUNDS,
t875_924_013945951,t875_924_013945951.txt,1,0.969535,0.979144,0.060931,0.041712,0.9390695,0.958288,1.0000005,1.000000,right,0,0,0.0000005,0,0.0000005,不超过1e-6,False,0,True,True,BBOX_OUT_OF_BOUNDS,
t876_006_014000329,t876_006_014000329.txt,2,0.501190,0.152658,0.997621,0.272728,0.0023795,0.016294,1.0000005,0.289022,right,0,0,0.0000005,0,0.0000005,不超过1e-6,False,0,True,True,BBOX_OUT_OF_BOUNDS,
